unused,unused,topic,songFragment
,,love,"dzieci burzy deszczowych nocnych zdarzeń połamanych marzeń jakby inne już  słychać głos, krok, trzask z tyłu marsz marsz, masz zero szans by zatrzymać czas gęsta dusi mgła  nie uciekniesz nam  mamy, mamy"
,,love,"Najpierw śmiech, potem płacz  Żaden cud, nierealny plan  I różnice zdań  Znowu szkoda słów,  Ale ona wciąż jest. Najpierw ktoś, potem nikt - taki los, A przyjazna dłoń zaciśnięta w pięść, nowy spada cios.  Ta"
,,love,"za mało się chciało, zbyt często widziało powody dla swej niewygody bywało, że było niemiło coś się oderwało, coś się nie kleiło gdy ledwo się tliło to nie podsycało się ognia i w końcu gasiło za rzadko"
,,love,"Przyszła do mnie kiedyś nieproszona Nie pukając otworzyła drzwi Nawet nie poznałem, że to Ona Chociaż serce tak zaczęło bić Głupio pytać jak tutaj trafiła Kto jej podał adres nie wiem sam Może tak po prostu"
,,love,"Pamiętasz tamte czasy, to pierwsze spotkanie? Pierwszą wspólną rozmowę, w osobowościach rozeznanie Była ładna pogoda, Twoje oczy w świetle lśniły Włosy przytulone słońcem na niebie się rozłożyły Już tamtego"
,,love,"Słuchaj, słuchaj... Czy w wietrze nie słyszysz, jak śpiewa Mój głos, w którym jest moja miłość i tęsknota Taka prosta i mocna jak wiosenne drzewa Jak sprężone gałęzie młodych wierzb w opłotkach Poprzez"
,,money,"Jak to jest, gdy mówią pieniądze, Kiedy prawda milczy jak grób? Jak to jest, gdy mówią pieniądze, Gdy się pienią, pienią bez tchu? Pamięć traci się na znak, ... ""siała baba mak"", Facet, co przysięgać dzisiaj"
,,money,"Zrobię dla ciebie bardzo dużotylko utrzymuj mnieza moją pensje nie mogę przeżyćto prawie nierealnekilkaset złoty płacą midla ciebie to jest szokżyjesz gdzie indziej, współczujesz miciągle powtarzasz toty"
,,money,"Pierwsza noc, Ty w sobie dusisz ten strach  Dookoła mej ulicy krążysz jak ćma.  Jedno spojrzenie mówi wszystko, ja wiem  Oddajesz się pokusie kasy za seks   Ref:  W oczach lęk  Dotykasz dna  Naładowana"
,,money,"liczysz sobie kwit później liczysz sobie sino liczysz sobie wszystko o czym inni tylko nawijają w sumie zrobie dziś to samo moja druga to jest nuta czekaj chwile, zaraz twoja dupa do mnie tu zapuka   i"
,,money,"tata mi mówił bym poszedł na studia ja chce zarabiać pieniądze nie przez całe życie sie tylko wkur*  poszedłem do studia żadna wytwórnia ok, zrobiłem to sam"
,,money,"Są jeszcze rzeczy, na których mi zależy.Gdy powiem co to jest może ktoś mi nie uwierzy,że nie są to pieniądze, nie są to stanowiska,to Ziemia jest spokojna i Ziemia czysta.Jest jeszcze na świecie tyle"
,,money,"Za takie pieniądze nie obalę konstytucji.Za takie pieniądze nie wywołam rewolucji.Za takie marne grosze o to jedno panią proszę,chcę tylko skrzynkę piwa, dziś impreza się zaczyna.Nasz świat jaki jest każdy"
,,money,Do tego dojdziesz samPrędzej czy późniejBy z danych opcjiNie wybrać trudnejDo tego dojdziesz samBy mimo marzeńI wątpliwościPowtórzyć za tłumemRóbmy pieniądzeI kiedy kupisz jużWszystkie wyrazy OpisującePsychiki
,,money,"Nie przepowiadam z fusów, nie jestem chiromantą Lecz czuję to głęboko Co powiem tu dyszkantem Pieniądze, ach pieniądze! Wielkie, wielkie rządze! Kariera, sławy, blaski, oklaski, ach oklaski! To tyko są"
,,money,"Pieniądze sa motywacją dla wielu To jest szok Flow zamyka gębę Skurwysyny  mamy to Słowotok nieustannie gadam … Trup gęsto pada Dobrze się zapowiadał w 2005 Dodaj 10 lat, nadal świeży, fresh Czuję cash Tak"
,,love,Nim wrzątek z wielu czajników cię sparzy Nim w głowie zamieszka sto różnych bzdur Nim staniesz przed lustrem i sam sobie powiesz Ta gra jest skończona nie ma mnie tu  Nim poznasz słodko-gorzki smak życia I
,,love,"Miłość ma krótki termin przydatności i trucizna uwalnia się z miłości, Zakłóca obraz, karmi się słowami, to właśnie, to właśnie robi z nami   Nic nie mogę Ci dać - został mi tylko czas, Mówię jak jest"
,,love,"Miłość miała wiecznie trwać A odeszła razem z nim Nie potrzeba mi już gwiazd Niechaj zgasną Z nieba pozdejmujcie to Morza wylejcie  Bo ja… Sensu świata nigdy już nie dostrzegę  Dobrze wiem, Nie będzie"
,,love,była podobna do śmierci w smaku słodka żelazna w dotknięciu mówiła sława wolniutkie w półśnie w drapieżnym ziewnięciu  była podobna do głębi przybrzeżnej w wartkim potoku miała oczy mułem nabiegłem  miała
,,love,Utwór instrumentalny :)
,,love,Spod serca wyrasta Wypełnia je I z siła uderza nie raniąc mnie Unosie się lekko  Tam gdzie chce I w duszy przychylnej rozrasta się  Rozwijaj się Kwitnij tam Gdzie zasadzono cię Rozwijaj się Wzmacniaj tak By
,,love,jesteś jak nieproszony gość jak dawno niewidziany krewny przychodzisz zawsze nie w ten czas wypijasz barek i chcesz zostać na noc  zakładasz nogi na mój stół w ubraniu wchodzisz mi do łóżka jak ojciec
,,love,BEZ CIEBIE WSZYSTKO MI JEDNO I CZUJĘ JAKBY MNIE BYŁO PÓŁ UPARTA CHMURA NADE MNĄ A CHMURA NADE MNĄ POZBAWIA MNIE TCHU  PRZY TOBIE ZNIKA CAŁE ZŁO PRZEZ OTWARTE OKNA PRZY TOBIE ODDYCHAM ZAPOMINAM SIĘ NA CHWILĘ  CIEBIE
,,love,BEZ CIEBIE WSZYSTKO MI JEDNO I CZUJĘ JAKBY MNIE BYŁO PÓŁ UPARTA CHMURA NADE MNĄ A CHMURA NADE MNĄ POZBAWIA MNIE TCHU  PRZY TOBIE ZNIKA CAŁE ZŁO PRZEZ OTWARTE OKNA PRZY TOBIE ODDYCHAM ZAPOMINAM SIĘ NA CHWILĘ  CIEBIE
,,love,"Była miłość, nie miłość Niezbyt wierna, zziębnięta  W lekkim płaszczu zapiętym pod szyję Nienoszona na rękach  Wiecznie czymś tam zajęta  Taka miłość, co wpada na chwilę  Była miłość, nie miłość Mieszkająca"
,,money,"palę sobie to w Watykanie fun 12, pierd* mnie tu ich zdanie sprawdzam sobie cash mała chodź na dancefloor pieniądze mnie meczą robię pranie palę sobie to w Watykanie fun 12, pierd* mnie tu ich zdanie sprawdzam"
,,money,Zwyczajny ludzki głoś traci swe znaczenie Wszyscy są głusi na krzyki Wszyscy są ślepi na cierpienie Ludzie odrzucili człowieczeństwo Uśmiech dobro miłość przyjaźń Wszystko zastąpiły pieniądze Nie liczy
,,money,Kim jest ten ksiądzIle zrobił złaCo podpisał i czy przez to pieniądze brałCzy składał tajne raportyKim on jestKim jest ten ksiądzIle lat donosiłCzy przez niego ktoś prześladowany byłCzy potrafi ujawnić
,,money,Resztką sił Znoszę ten chłód Miasta trzy I żadne z nich nie moje  Czemu wciąż Pieniądze liczysz? Przecież masz Dwadzieścia lat  Już resztką sił Znoszę ten wiatr Wszyscy zorientowani na sukces Do biegu Do
,,money,"Zobaczyłeś to, jak wygląda taki świat, gdzie pieniądze są!  Nie ma w nim na szczęście nas!  Miłość, w której Ty nie znaczyłeś nic  Pokazała ci cały materialny syf!  Zostaw to, co innym,  Pokazuje, jak"
,,money,"Pieniądze, pieniądzeWskażcie mi drogę bo błądzęPieniądze, pieniądzeIdą piechotą do rąkOkrywa mnie sława i futroMam wille z basenem od jutraKobiety u stóp mych się tłocząBo kołem fortuna się toczyPieniądze,"
,,money,Wychowanie Musisz twardy być dla słabych Bezlitosny dla przegranych Mieć w pogardzie innych ludzi I w myśleniu się nie brudzić Wychowanie Musisz wierzyć w słuszne wojny Mieć pieniądze dom wygodny Podziękujesz
,,money,zarobiłem tyle by zrozumieć że te pieniądze nic nie warte są zarobiłem tyle by zrozumieć że pieniądze te budzą zazdrość twa  żyje i na nic nie brak mi pieniędzy lecz nadal sie czuję ubogi gdzie nie pójdę
,,money,"skrrr  skrrr    robię jebany performance czuje sie jakbym grał w warblade twoja hoe mówi mocniej nigdy nie jest dobrze, wojtek  najpierw sedan potem rover najpierw sedan potem porsche potem liczę se pieniądze potem"
,,money,"La, la, la, la, la, la, la, la, Żyje się nieźle, spokój i pieniądze   		ciekawa praca, wycieczki, można			nie zgadzać się z niektórymi posunięciami  	bo ograniczają to, czy tamto		( 2x)Może to za mało,"
,,love,"Przyszła, zakłócając rytm monotonnych, szarych dni, odmieniła wszystko w mig - pierwsza miłość. Miała swój wspaniały świat, nie umiała dostrzec wad, ufna była, nadziei moc na szczęśliwe dni, pełne marzeń"
,,love,"Ave Częstochowa! Peace and Love ludzie! Piekło zamarzło Kochać wszystkich Nikogo nie oszczędzać  To potrzebne jest na świecie Żeby wszystkim lepiej nam się żyło Miłość, jedna miłość!  I w tej ważnej chwili"
,,love,"Na taką miłość czeka się tyle lat taka miłość zdarza się tylko raz dziś już wiem marzenia spełniają się gdy chcesz, tylko chcesz"
,,love,ta Stara Miłość nie rdzewieje i nieraz w myślach powraca do ciebie
,,love,"tysiące ulic tysiące twarzy a ja wciąż czekam ze to się zdarzy ze przyjdzie do mnie miłość prawdziwa co grzeje mocno i w duszy gra  miłość płomienna miłość wyśniona  co niszczy smutek, wszytko pokona  i"
,,love,"Do naszych serc do wszystkich serc uśpionych Dziś zabrzmial dzwon ,juz człowiek obudzony. Bo nadszedł czas i dziecię się zrodziło. A razem z Nim, maleńka przyszła miłość.  Maleńka miłość w żłobie śpi, Maleńka"
,,love,Wakacyjny DZIEŃ Zobaczyłem cię Rozpaliłaś nasza wielką miłość Cóż to był za czas Kiedy dwoje nas To uczucie jedno połączyło  18 lat Tylko ty i ja Zakochani tak Między nami wielka miłość 18 Tylko ty i ja Zakochani
,,love,Tak to mój błąd. Pomyłka – twoje imię I ! - Bez ciebie już Szczęśliwa być zaczynam Już nie chcę cię ! Zrobiłam sobie reset. I ! - Od dzisiaj już …  Powoli zapominam. Moja wina... Twoja wina... Nie ma to
,,love,"Słuchaj ziom, To nie mój styl Ale naprawdę chcę skończyć z tym Nie mam sił by uciec stąd Zostać w tym czuję, że to by był duży błąd  Jebać ją, powiedz: Stop! Jebać ją, to słaby deal - zachowuję się jak"
,,love,miłość zabija wiem to dopiero dzisiaj zabiera wszystko w jednej chwil sprawia ból miłość zabija choć nie ma bez niej życia!  miłość zabija wiem to dopiero dzisiaj zabiera wszystko w jednej chwil sprawia
,,money,"Nie ma, nie ma, nie ma wolności na tym świecieA miejsce wolności zajęły pieniądzePieniądze to za wszystko jest zapłataZa pieniądze brat zabija brata ...Nie ma, nie ma, nie ma miłości na tym świecieA miejsce"
,,money,"I znów przychodzisz do mnie z tym swoim głupkowato przyklejonym uśmiechem i mówisz mi tak:  Ja mam kasę maleńka, ja mam siano, ja mam flotę, mleko, sarę, kapustę, sałatę i hajs A teraz, gdzie moja rekompensata?"
,,money,"W splątanym gaju rąk i nóg szepczemy słowa święte,  jak szeptał kiedyś Młody Bóg bogini niepojętej.  Ole, ole, ole, ola, oli, bogini niepojętej.  Ole, ole, ole, ola, oli, bogini niepojętej.W czerwonym"
,,money,"W splątanym gaju rąk i nóg szepczemy słowa święte, jak szeptał kiedyś Młody Bóg bogini niepojętej. Ole, ole, ole, ola, oli, bogini niepojętej. Ole, ole, ole, ola, oli, bogini niepojętej. W czerwonym żarze"
,,money,"Wola istnienia, moc przenoszenia wiarą gór, Dziecięca siła, nie ma w niej strachu. To jest to, to jest to, to jest to, to jest to...To jest to, czego nie odda nic, Miłość, pieniądze, sława, Kiedy los wszystko"
,,money,Bogata być i pieniądze mieć Chciałabym w dużej ilości Przekładać je z kupki na kupkę Banknotami łóżko sobie wymościć Złotymi monetami wyłożyć Chciałabym sufit i ściany A pod tymi ścianami mieć Pełne sejfy
,,money,"Szybko żyje I jem szybkie jedzenie Tuż za rogiem Za pieniądze, które nic nie znaczą  Jem, jem I czuje ulgę Zjedz mnie, zjedz mnie Wszystko krzyczy Kolorowe i pachnące jedzeniem Do jedzenia wciąż nakłaniające Im"
,,money,"1.Nadzieji iskra, pojawia się, lecz czujesz tylko w sobie strach, Pieniądze mieć, bogatym być, słyszałem to już nie raz. Kadilaki, kobiety, to moje podniety, Pieniądze i dziewczyna, to moja dyscyplina. Ref. Jesteś"
,,money,"Prężysz się i krzyczysz, lecz tego nie zmienisz, każdy z nas jest śmieciem choć tego nie chcemy. Żyjemy z dnia na dzień za marne grosze, ciężko harujemy przez całe tygodnie. Ref. Armia niewolników, która"
,,money,"Jedziemy gdzieś ulicą tego miastaJedziemy stąd, nie trzyma nas nicTu nasze sny nie znaczą nic,Nie mamy szans, nie mamy siłJedziemy gdzieś ulicą tego miastaMijamy tłum, nie woła nas niktOślepia ich neonów"
,,love,"każdy jej potrzebuje każdy o niej marzy przecież ona zawsze ratuje zimą grzeje, chłodzi w lecie ja wiem czego nam trzeba dziś wszystkich uleczyć chce  ja sprzedaje miłość, bo popyt jest na to rozdaje szczęście"
,,love,Powiedz mi kochanie Jak mam dalej żyć Gdy bez ciebie znaczę nic  Przed oczami mam Płynące razem dni Ale jedno wiem Chce odzyskać je  Bo moje sny a w nich ty Czy to miłość Bo moje łzy i twoje sny Czy to
,,love,dziwne życie mam odkąd ciebie znam chyba wokół mnie sa jakieś czary bo wyjaśnić jak czemu widzę świat jak przez zielone okulary bo wyjaśnić jak czemu widzę świat jak przez zielone okulary  zielona miłość zielony
,,love,"Przychodzi znikąd Taka piękna Jakby nie istniał Dla niej czas I każdą chwilę z nią Chcesz zapamiętać Wiedząc, że szczęście ma Niepewną twarz Więc kiedy tulisz ją W ramionach Wiesz już Jak bez niej Było"
,,love,"Wolność głośno krzyczy to w każdym z nas, Że chcesz żyć godnie i zostawić po sobie ślad. Wolność mówi, że wszystko możesz, lecz Nie rób krzywdy, myśl o tym, co dobre jest. Podaj swoją dłoń (podaj swoją"
,,love,"Co może dać nam zwykła miłość Tyle w życiu się zdarzyło Ty jesteś aniołem, ja hulaką Jak iść przez życie można razem Dom budować z samych marzeń Gdy ty jesteś księżniczką, ja żeglarzem  Pomoże nam jedynie"
,,love,"Wstajesz znów niewyspana, trudno spać gdy w sercu cierń W lustro patrzysz I sama, nie wiesz czego w końcu chcieć A każdy dzień jak powtórka serialu, nudny wątek od dawna znasz I jedno wiesz, lepiej uciec"
,,love,Klucz w szufladzie zostawiłeś Jakieś akta rozrzuciłeś I wybyłeś (i wybyłeś) Dwie koszule i sweterek  Garniturek w neseserek  Swój wrzuciłeś (swój wrzuciłeś)  Rytm pociągu cię usypiał Marzeniami rozkołysał I
,,love,"Dobra miłość między nami  Tak delikatna, jak aksamit  Taka piękna, jak witraże  Prowadzi marzeń ogrodami  Wiodą nas jej ślady  W posiwiałe sady  Pól rozległy bezkres  Gdzie nie kłamie serce  Ale już odchodzi"
,,love,"Zacznij już dziś zapuszczać brodę Bo wnet, wakacji przyjdzie czas Rękę ci dam, a ty mi nogę Niech miłość ta połączy nas  Z brodą, ze mną pod namiotem Ty w sukience i z warkoczem  Wakacyjna miłość Miedzy"
,,money,Ogień - to mija  Kwiaty - to mija  Sława - to mija  Pieniądze - to mija  Właśnie tak jest  Wojna - to mija  Życie - to mija  Czas - to mija  Miłość - zostaje  Właśnie tak jest  Rozpacz - to mija  Obłęd
,,money,Błatnaja Noc jest tak czarna że wdowia suknia jak odpustowa róża A ty wysyłasz mnie wkładając w ręce srebrny nóż po pieniądze i po śmierć W bramach psy a ja wśród niech liczymy krople deszczu gotowi zamienić
,,money,Coraz mniej jasnego światła  Coraz więcej zła  Wasze ogłupiałe żądze  Wojny i pieniądze  Coraz mniej czystego nieba  Coraz więcej brudu  Zabrudzimy oceany i zostaną plamy  Coraz mniej dobrych matek  Coraz
,,money,"nie chce być powodem strumieni łez i twoich zmartwień, mamo ulice zimne jak lód tutaj pokazać serce oznacza słabość szybkie pieniądze brak czasu na sen ile bym nie zarobił – to mało pod oknem mercedes"
,,money,"Zły czas, na sen. Musisz szybko się wykazać, w tej grze. Najtrudniejszy styl i luz. Kilka lekcji z telewizji- jak stać się kimś. Nie wierzę, że to jest szczęśliwy świat. Kupionych zasad i straconych lat. Może"
,,money,"Od tego trzeba zacząć rzecz  Lecę bo zgubiłem się  Niewiele pamiętam  Tarariruriraj  Czuję w sobie chuć i wiatr  Dobrze jest bawimy się  Myślom nie ma końca  Śnieg, zawierucha w nas    Lecę, bo chcę  Lecę,"
,,money,Do ideału za dalekoTysiąc a może więcej latChociaż posuwasz pełną parąW kieszeni drobny makWielka wygrana ci się marzyNaiwnie wierzysz w jakiś cudUłożyłbyś się nawet z diabłemByleby zgarnąć łupRef.:	Pieniądze
,,money,"Mimo, że czasem masz już wszystkiego dość,a życie nie jest takie jakbyś chciał.Na widok otoczenia ogarnia Cię złość,obraz przyszłości powoduje strach.Smak życia nie jest już taki, jak kiedyś,w telewizorni"
,,money,"Leżę sobie i nic nie robię od trzech dni, w ręku wiosło mam i dla Ciebie tylko gram, tylko gram,tylko gram, tylko gram,tylko gram. REF. Niepotrzebne nam wielkie pieniądze, niepotrzebny świat i jego żądze, pozostawcie"
,,money,"Dobrze pamiętam moje szkolne dni  Mówili, że mam uczciwie żyć  Nie dbaj o forsę wiedza liczy się  Jak napchać żołądek? Może wiesz?  W robocie szef mówi: ""Możesz iść,  Nie jesteś potrzebny tutaj od dziś"""
,,love,historia się powtarza to znowu się zaczyna on patrzy w oczy moja podrywu jest przyczyna  parkuje swój samochód tuz obok mojego  tak żebym ja musiała  wciąż zerkać na niego  chociaż twój tatuś jest mocno
,,love,Na pustej plaży tak bez celu Idąc samotnie patrzę w dal Słuchając morza myślę o tym Co los mi zabrał co mi dął Wspomnienia do mnie powracają Wciąż czuje dotyk twoich ust I tamto lato pełne słońce To wszystko
,,love,"Refren: La la la la laj La la la la laj La la la la laj Tropikalną miłość daj x2   Słońce od rana już przygrzewa nasze ciała Bezludna wyspa w nas, tańczymy tu do rana Jak morskie fale ty nurkujesz w moje"
,,love,twój piękny uśmiech fryzura niedbała od dzisiaj będę ciebie kochała  kusić cię wdziękiem pragnę wieczorem rano rozbawiać swoim humorem  ta nasza miłość jest zawarowana z tobą tu szaleć będę do tana niech
,,love,"Na tych ulicach i zakamarkach miasta Na mostach, domach  Często na ludzi twarzach  Zostawiasz sidła swe, a skrzydła niosą nie  Nienawiść i miłość,  Jaskółki dwie Jedna chroni, druga zabija /x2  To nieznany"
,,love,Szalona miłość jest w nas  Pierwsze wspomnienie oczarowało mnie I już wiedziałam że to był tylko sen Cudowny sen Twe piękne usta uśmiechały się I twe spojrzenie zawstydziło mnie zawstydziło mnie  Szalona
,,love,"Kocham ciebie nierealnie wirtualnie, niebanalnie Kocham ciebie szczerze choć w tę miłość nie wierzę kocham ciebie w dzień i w nocy ta miłość dodaje mi mocy  Romantycznie, ekscentrycznie  niech nam będzie"
,,love,wiele dziewczyn miałem ale nie miałem takiej jak ty masz w sobie naturalność wygląd klasę no i styl  bo taka miłość zdarza się tylko raz z tobą chce się bawić lecz każdego dnia za te piękne oczy oddam
,,love,przyszła noc miasto śpi w świetle palm tańczą ćmy każdy sen z tobą chcę mija czas gdzieś obok nas  napisałam do ciebie kolejny list choć na żaden nie odpisałeś mi gdzieś w otchłani sieci odnalazłam cię czekam
,,love,Stara miłość nigdy nie umiera...  ZWROTKA: Czy masz jutro czas wieczorem się przejść we dwoje? Może chciałabyś porozmawiać o odnowie? Bo zasługujesz na więcej U mnie trafisz w dobre ręce A w sumie to nam
,,money,"Nie przepowiadam z fusów, nie jestem chiromantą, lecz czuję to głęboko, lecz czuję to głęboko, co powiem tu dyszkantem. Pieniądze, ach, pieniądze, wielkie, wielkie żądze, kariera, sława, blaski, oklaski,"
,,money,Jestem tutaj i zawsze będę Ja zajmuje najwyższą grzędę Ja pędzę do góry i patrzę w dół Ja jestem szybki ty wolny jak muł To jest wyścig żółwia z królikiem Ty jesteś szeptem ja jest krzykiem Ty sie wyginasz
,,money,"Idą ludzie, do kościoła Będą chylić swoje czoła Będą prosić o pieniądze Aby bóg spełnił ich chciwe żądze Będą prosić o pieniądze Aby bóg spełnił ich chciwe żądze Siedzi ksiądz w konfesjonale On ma bardzo"
,,money,Znam jedno takie miejsce Na parkingu tuż za rogiem W pół mroku i zawsze po zmroku Parują szyby  I nikt o niczym nie wie Nikt nie pyta o twoje imię Zaspokajając swoje  żądze Kupujesz miłość za pieniądze  Nigdy
,,money,życie to mój dar wielki dar od boga idę wciaz do przodu choć nieraz po stromych schodach raz powinie sie noga nieraz niełatwa droga to chłonę każdą chwilę bo każdej sekundy szkoda  życie nie ma ceny jest
,,money,"Płoń, płoń, nie ma litości Dla tych, co czynią ohydę Płoń, płoń, koniec radości Płomienie szaleją po ohydy wstydzie Uważaj, tu trwa ohydy przewalanie Polityczne frakcje dzielą się, jednoczą Drewniane ławy"
,,money,"To nie żart, to wszystko na serio jest to nie tak, że tylko pieniądze, szybki seks  to nie żart, to wszystko na serio  jest dobrze  wiesz, że nikt inny nie obchodzi mnie  To nie żart, to wszystko na serio"
,,money,"Efieszet i jego bla bla bla styl  Efieszet i jego bla bla bla styl  Aha i jeszcze raz.  Ja nie mówię głośno o pieniądzach,  O pieniądzach nie mówię wcale,  Kiedy Ty otwierasz usta,  Ja do nosa pcham swój"
,,money,"Zły czas na senMusisz szybko się wykazać w tej grzeNajmodniejszy styl i luzKilka lekcji z telewizji jak stać się kimśNie wierzę, że to jest szczęśliwy światKupionych zasad i straconych latMoże się wydawać,Że"
,,money,Kogo ci ludzie reprezentują ?Wprowadzają w życie swoje głupie teoriePosługują się przy tym Bogiem...Kogo ci ludzie reprezentują ?Wydają pieniądze na budowę KościołaKażą się modlić nawet w przedszkolu...NARZUCAJĄ
,,love,"Patrzę w twe oczy i widze twój ból Nie zawsze jest tak jakbyś chciał  Wystarczy twój uśmiech byś przy mnie był Dzięki tobie mogę zrozumieć, że...  Jesteśmy każdego dnia tak jak siostra i brat,  Dając innym"
,,love,człowiek mądry jest ale czemu już po szkodzie jak wszystko straci sam zostanie już na lodzie  to byłą jedna noc no i cała kasa poszła choć było super to zrobiła ze mnie osła  ale powiedz dziś całkiem szczerze ja
,,love,Szła obok nas na pewną zgubę Bezbronna ufna lepsza niż my  Prawdziwa czysta jak łza jak kryształ Do dziś po nocach mi się śni   Gdzie jest tamta miłość Niepokój serc żarliwość słów  Co się z nią dzieje
,,love,Nasza miłość płonie w nas /2x  Mówisz kochaj mnie cały czas Patrzysz w oczy ten pierwszy raz Ja dal ciebie wszystko kochanie Zrobię dzisiaj nawet małe pranie  Zostań to ze mną do rana Z tobą noc jest tak
,,love,On za rękę trzymał ją Nie mówiła nic bo Nie wiedziała co się dzieje wokół Pierwsza miłość  Tak spędzali całe dnie Wciąż wpatrzeni w siebie bo Nie widzieli świata poza sobą Pierwsza miłość Jak to się zdarzyło?  Kocham
,,love,"Łzy są tajemnicą, uśmiech tajemnicą,  miłość tajemnicą jest  Łzy są tajemnicą, uśmiech tajemnicą,  miłość tajemnicą jest.    Powiedz mi swoje imię, daj mi swoją rękę.  Powiedz mi to co chcesz powiedzieć,"
,,love,"1.	Wiem, że zawaliłem znów za dużo ciężkich słów Wtulony w obraz Twój.  Wiem, że czasem dosyć masz, lecz radę zawsze dasz Więc proszę powiedz mi jak mam dalej żyć  Ref.  Znowu jestem sam, lecz nie poddaje"
,,love,"Ludzie dużo mówią o miłości, ale czym jest miłość? Miłość to coś więcej niż piersi i tyłek Więcej niż seks - choć to i tak już jest miłe Więcej niż spanie w jednym łóżku i puszczanie wiatrów Więcej niż"
,,love,"Przy Tobie czuję się jak w niebie Miliony gwiazd dla Ciebie skradnę Me serce dam Ci w Twoje ręce, A w Twoich rękach niech przepadnę  Bo to jest miłość, to są dwa serca, A w moim Ty wciąż najpiękniejsza W"
,,love,"A chce uprawiać z tobą miłość I nie obchodzi mnie że ważysz 200 kilo Pamiętam wszystko to, jakby było wczoraj Ty, ja oraz McDonald, Big Macki, coca-cola Ty jadłaś jak szalona, pozwoliłaś bym się dosiadł Widziałem"
,,money,Kobiety dają dupy mężczyznom Mężczyźni dają dupy polityce Kobiety pierdolą w imię miłości Mężczyźni w imię złudnych idei Pierdolenie to pieniądze kobiet Pieniędzmi mężczyzn są wojny i honor Świat zbudowany
,,money,Fikcyjne rządy fikcyjne wiadomości Zawsze wychodzą z ust polityków Zawsze przekupstwa i oszustwo Zapewnia stanowisko i pieniądze Ten wygrywa Nie liczą się pomysły liczą się poglądy Gdy jesteś z nimi jesteś
